,Customer,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Policy,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size
0,BU79786,Washington,No,Basic,Bachelor,2/24/11,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Agent,Two-Door Car,Medsize
1,QZ44356,Arizona,No,Extended,Bachelor,1/31/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize
2,AI49188,Nevada,No,Premium,Bachelor,2/19/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize
3,WW63253,California,No,Basic,Bachelor,1/20/11,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Call Center,SUV,Medsize
4,HB64268,Washington,No,Basic,Bachelor,2/3/11,Employed,M,Rural,Single,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize
5,OC83172,Oregon,Yes,Basic,Bachelor,1/25/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Web,Two-Door Car,Medsize
6,XZ87318,Oregon,Yes,Basic,College,2/24/11,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
7,CF85061,Arizona,No,Premium,Master,1/18/11,Unemployed,M,Urban,Single,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
8,DY87989,Oregon,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,Suburban,Divorced,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
9,BQ94931,Oregon,No,Extended,College,2/17/11,Employed,F,Urban,Married,Special Auto,Special L2,Offer2,Branch,Four-Door Car,Medsize
10,SX51350,California,No,Basic,College,2/21/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small
11,VQ65197,California,No,Basic,College,1/6/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,SUV,Medsize
12,DP39365,California,No,Premium,Master,2/6/11,Employed,M,Urban,Married,Corporate Auto,Corporate L1,Offer2,Agent,Four-Door Car,Medsize
13,SJ95423,Arizona,Yes,Basic,High School or Below,1/10/11,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Branch,SUV,Medsize
14,IL66569,California,No,Basic,College,1/18/11,Employed,M,Urban,Single,Corporate Auto,Corporate L3,Offer4,Call Center,Four-Door Car,Medsize
15,BW63560,Oregon,No,Basic,Bachelor,1/17/11,Employed,F,Rural,Married,Corporate Auto,Corporate L2,Offer2,Branch,Four-Door Car,Medsize
16,FV94802,Nevada,No,Basic,High School or Below,2/6/11,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Medsize
17,OE15005,California,No,Basic,College,1/5/11,Medical Leave,M,Suburban,Married,Personal Auto,Personal L2,Offer3,Call Center,SUV,Medsize
18,WC83389,Oregon,No,Basic,College,2/27/11,Employed,M,Urban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize
19,FL50705,California,No,Premium,High School or Below,1/14/11,Employed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Call Center,Four-Door Car,Small
20,ZK25313,Oregon,No,Basic,High School or Below,2/19/11,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Branch,Two-Door Car,Medsize
21,SV62436,Washington,No,Extended,Bachelor,1/21/11,Disabled,F,Suburban,Divorced,Personal Auto,Personal L3,Offer4,Call Center,Four-Door Car,Medsize
22,YH23384,Arizona,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
23,TZ98966,Nevada,No,Basic,Bachelor,2/24/11,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Branch,Four-Door Car,Medsize
24,HM55802,California,No,Basic,Bachelor,2/5/11,Disabled,F,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Branch,Four-Door Car,Medsize
25,FS42516,Oregon,No,Basic,College,1/29/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Large
26,US89481,California,No,Premium,Bachelor,2/28/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small
27,HO30839,Washington,No,Extended,Master,2/12/11,Disabled,F,Urban,Married,Corporate Auto,Corporate L1,Offer1,Branch,SUV,Medsize
28,GE62437,Arizona,No,Premium,College,2/2/11,Employed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Large
29,EJ77678,Oregon,No,Extended,Master,2/7/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Small
30,SV85652,Arizona,No,Basic,College,2/28/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer4,Call Center,Four-Door Car,Small
31,UL64533,Nevada,No,Extended,High School or Below,1/22/11,Employed,M,Urban,Married,Corporate Auto,Corporate L2,Offer2,Agent,Luxury SUV,Medsize
32,PF41800,California,No,Basic,Bachelor,1/25/11,Unemployed,M,Urban,Married,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize
33,AO98601,Washington,No,Basic,Bachelor,1/18/11,Employed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Agent,Two-Door Car,Small
34,SK67821,Oregon,No,Basic,Bachelor,2/13/11,Employed,F,Rural,Married,Corporate Auto,Corporate L1,Offer3,Web,Four-Door Car,Medsize
35,YV55495,Arizona,No,Basic,High School or Below,1/15/11,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize
36,KY38074,California,No,Premium,Bachelor,1/8/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small
37,DM79012,Oregon,No,Extended,Master,2/6/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Small
38,CM61827,Oregon,No,Extended,Bachelor,1/25/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer3,Agent,Two-Door Car,Small
39,WC35801,Arizona,No,Basic,High School or Below,2/7/11,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize
40,QG25316,Nevada,No,Basic,High School or Below,1/18/11,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer3,Call Center,Two-Door Car,Medsize
41,MB98372,Oregon,Yes,Basic,College,1/11/11,Employed,F,Rural,Single,Corporate Auto,Corporate L3,Offer2,Agent,Two-Door Car,Medsize
42,IL19217,California,Yes,Extended,Bachelor,1/28/11,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Small
43,SR38658,Arizona,No,Basic,High School or Below,2/8/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer4,Agent,Sports Car,Medsize
44,DH41343,Washington,No,Basic,College,2/23/11,Employed,M,Suburban,Married,Special Auto,Special L2,Offer2,Call Center,Four-Door Car,Large
45,HG65722,Oregon,No,Premium,Doctor,1/25/11,Disabled,F,Rural,Married,Personal Auto,Personal L2,Offer1,Branch,SUV,Medsize
46,BU27331,Arizona,No,Basic,Bachelor,1/31/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Call Center,Four-Door Car,Medsize
47,XM45289,Oregon,No,Basic,High School or Below,1/2/11,Employed,F,Suburban,Single,Personal Auto,Personal L2,Offer4,Agent,Two-Door Car,Medsize
48,KP34198,California,No,Extended,Bachelor,2/7/11,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Call Center,Four-Door Car,Medsize
49,SH90947,Arizona,No,Basic,High School or Below,1/18/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer4,Branch,Four-Door Car,Medsize
50,WE95729,Oregon,No,Basic,College,1/17/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,SUV,Small
51,PY51963,California,Yes,Basic,Bachelor,1/11/11,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L1,Offer1,Web,SUV,Medsize
52,RB69909,Nevada,No,Basic,High School or Below,2/21/11,Employed,F,Rural,Married,Special Auto,Special L1,Offer4,Branch,Four-Door Car,Medsize
53,XR95069,Washington,No,Basic,Bachelor,2/16/11,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Medsize
54,FR46645,California,No,Premium,Bachelor,1/17/11,Disabled,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Small
55,SY17488,Arizona,No,Extended,College,2/5/11,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer3,Call Center,Four-Door Car,Small
56,AP67935,California,No,Basic,College,2/13/11,Employed,M,Urban,Married,Special Auto,Special L2,Offer2,Branch,Four-Door Car,Medsize
57,FS37417,Arizona,No,Basic,High School or Below,2/23/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Call Center,SUV,Small
58,ML29312,Oregon,No,Extended,High School or Below,1/28/11,Disabled,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize
59,UB61619,Oregon,No,Premium,Master,2/28/11,Disabled,F,Suburban,Divorced,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize
60,CD86811,Arizona,Yes,Basic,Bachelor,1/2/11,Retired,M,Suburban,Divorced,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize
61,RU83859,California,No,Premium,Bachelor,1/22/11,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,Two-Door Car,Small
62,FG63582,Oregon,No,Extended,Bachelor,1/15/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Small
63,NN71951,California,No,Basic,High School or Below,1/27/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize
64,WB37082,Arizona,No,Basic,Bachelor,1/23/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Branch,Four-Door Car,Large
65,SM52139,Washington,No,Basic,College,1/31/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer3,Web,Four-Door Car,Medsize
66,FL82372,Oregon,No,Basic,College,1/26/11,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer1,Agent,SUV,Medsize
67,DP45816,Arizona,No,Extended,High School or Below,1/10/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer4,Branch,Two-Door Car,Small
68,GW33762,Oregon,Yes,Extended,Bachelor,1/27/11,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Call Center,Two-Door Car,Large
69,RZ33670,California,No,Premium,College,1/9/11,Disabled,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Web,Four-Door Car,Medsize
70,PY70169,Oregon,No,Basic,High School or Below,2/24/11,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer4,Agent,SUV,Medsize
71,MO91628,Oregon,No,Basic,Master,2/11/11,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer2,Web,Two-Door Car,Large
72,HW87852,Oregon,No,Basic,Master,2/12/11,Medical Leave,M,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize
73,HB20453,Oregon,No,Basic,Bachelor,2/4/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Sports Car,Medsize
74,BN87372,Oregon,Yes,Basic,Bachelor,1/18/11,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Medsize
75,YX23800,Oregon,No,Basic,Bachelor,2/11/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Small
76,DZ87709,Oregon,No,Basic,High School or Below,2/1/11,Employed,F,Rural,Single,Personal Auto,Personal L1,Offer2,Call Center,Four-Door Car,Medsize
77,XW13033,Nevada,No,Basic,College,2/15/11,Employed,M,Suburban,Married,Personal Auto,Personal L1,Offer2,Agent,Four-Door Car,Medsize
78,LN31673,Washington,No,Extended,College,2/6/11,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
79,OM82309,California,No,Basic,Bachelor,2/27/11,Employed,M,Rural,Single,Personal Auto,Personal L3,Offer2,Branch,Luxury Car,Small
80,ZU35962,California,No,Extended,College,1/26/11,Unemployed,F,Rural,Single,Personal Auto,Personal L3,Offer3,Branch,Two-Door Car,Large
81,VH85817,California,Yes,Basic,High School or Below,2/26/11,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Medsize
82,DT85712,California,No,Basic,Doctor,1/27/11,Employed,M,Suburban,Married,Personal Auto,Personal L1,Offer3,Branch,SUV,Medsize
83,YJ88573,Nevada,No,Basic,Master,1/16/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Large
84,SQ19467,Oregon,No,Extended,College,1/27/11,Disabled,F,Suburban,Single,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Small
85,HF88410,Washington,No,Basic,High School or Below,2/28/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Call Center,Four-Door Car,Medsize
86,ET79815,California,Yes,Extended,College,1/25/11,Retired,M,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize
87,QC35222,California,No,Basic,Bachelor,1/1/11,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Offer3,Web,Four-Door Car,Medsize
88,CJ15590,Oregon,No,Basic,Bachelor,2/1/11,Employed,F,Suburban,Divorced,Personal Auto,Personal L2,Offer3,Branch,Four-Door Car,Medsize
89,OI48267,California,Yes,Extended,College,2/19/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize
90,JY67916,Oregon,No,Premium,College,1/27/11,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Small
91,OE75231,Washington,Yes,Extended,Bachelor,2/27/11,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Call Center,Two-Door Car,Medsize
92,CZ33664,Oregon,No,Basic,Bachelor,1/17/11,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
93,WK30175,Oregon,No,Basic,Bachelor,2/10/11,Employed,M,Suburban,Married,Corporate Auto,Corporate L1,Offer1,Branch,Two-Door Car,Small
94,ON44465,California,No,Extended,High School or Below,1/24/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize
95,TV87155,Oregon,No,Basic,Bachelor,2/24/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Large
96,KH48895,Arizona,No,Basic,Master,2/15/11,Medical Leave,F,Rural,Married,Personal Auto,Personal L3,Offer1,Branch,SUV,Medsize
97,NZ30757,California,No,Basic,Bachelor,2/16/11,Medical Leave,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize
98,RI22468,Arizona,No,Basic,Bachelor,1/22/11,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer3,Web,Four-Door Car,Medsize
99,FZ30935,Oregon,No,Extended,College,2/25/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Two-Door Car,Small
100,UG93476,California,Yes,Basic,College,1/11/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize
101,AB96670,California,Yes,Basic,College,1/31/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize
102,XK64261,Oregon,No,Basic,Bachelor,1/12/11,Employed,M,Rural,Single,Corporate Auto,Corporate L3,Offer3,Call Center,Two-Door Car,Medsize
103,EV68375,California,Yes,Premium,College,2/16/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize
104,UN51653,California,No,Extended,High School or Below,2/9/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Web,SUV,Medsize
105,TO96662,Oregon,No,Extended,Bachelor,1/19/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Small
106,MR52087,California,No,Basic,Bachelor,1/4/11,Employed,F,Rural,Married,Personal Auto,Personal L1,Offer3,Branch,Four-Door Car,Medsize
107,DE75225,Oregon,No,Basic,High School or Below,1/9/11,Unemployed,M,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,SUV,Medsize
108,EP80820,California,No,Basic,Bachelor,1/27/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize
109,GU99037,Oregon,No,Basic,College,2/14/11,Employed,M,Urban,Married,Corporate Auto,Corporate L1,Offer4,Agent,Four-Door Car,Medsize
110,WI57118,California,No,Extended,College,2/27/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Small
111,YQ74870,Washington,No,Extended,High School or Below,2/12/11,Employed,M,Suburban,Divorced,Corporate Auto,Corporate L2,Offer2,Web,Four-Door Car,Small
112,MQ14219,Arizona,No,Basic,College,2/26/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,SUV,Medsize
113,KN20603,Oregon,No,Basic,Bachelor,2/20/11,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
114,CR48975,Washington,No,Basic,High School or Below,2/2/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer4,Branch,Four-Door Car,Medsize
115,JI70886,California,No,Basic,High School or Below,2/15/11,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Agent,SUV,Medsize
116,VF72557,Oregon,Yes,Extended,High School or Below,2/18/11,Retired,M,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Agent,SUV,Medsize
117,OX28638,Arizona,No,Extended,High School or Below,1/21/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Medsize
118,SK55033,California,No,Basic,Bachelor,1/15/11,Employed,F,Suburban,Single,Personal Auto,Personal L2,Offer3,Agent,Two-Door Car,Medsize
119,OO88645,California,No,Extended,College,2/5/11,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Offer2,Call Center,Four-Door Car,Medsize
120,YT36855,Washington,No,Extended,College,2/24/11,Unemployed,M,Suburban,Married,Personal Auto,Personal L2,Offer3,Web,Two-Door Car,Medsize
121,CW82151,California,No,Basic,Bachelor,1/5/11,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer1,Call Center,Sports Car,Medsize
122,DY22043,Oregon,No,Basic,High School or Below,1/28/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Branch,Two-Door Car,Small
123,SH36774,California,No,Basic,High School or Below,1/12/11,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Web,Luxury SUV,Medsize
124,EM43724,Nevada,No,Basic,Bachelor,2/16/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
125,FH85960,Oregon,No,Premium,College,1/3/11,Employed,M,Suburban,Divorced,Personal Auto,Personal L2,Offer1,Call Center,Four-Door Car,Medsize
126,XA55993,Oregon,No,Extended,Master,2/7/11,Employed,F,Rural,Single,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize
127,GO36627,Arizona,No,Extended,College,1/13/11,Employed,M,Urban,Married,Special Auto,Special L2,Offer1,Branch,Four-Door Car,Medsize
128,QH48047,Oregon,Yes,Basic,College,1/3/11,Retired,M,Suburban,Divorced,Personal Auto,Personal L2,Offer2,Web,Four-Door Car,Medsize
129,RB50392,Washington,No,Basic,Master,2/17/11,Unemployed,F,Rural,Married,Personal Auto,Personal L1,Offer2,Agent,Four-Door Car,Medsize
130,UH65059,Arizona,No,Basic,High School or Below,1/21/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Sports Car,Medsize
131,FV21968,Nevada,No,Basic,Bachelor,1/26/11,Employed,F,Rural,Married,Special Auto,Special L2,Offer1,Branch,Four-Door Car,Medsize
132,QA87025,Oregon,No,Basic,Bachelor,1/31/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize
133,TQ13499,Arizona,No,Premium,College,1/2/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small
134,BU44523,Arizona,No,Basic,High School or Below,2/7/11,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L2,Offer1,Web,Four-Door Car,Small
135,MS41162,Arizona,No,Basic,High School or Below,1/26/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize
136,PU25891,Oregon,No,Basic,High School or Below,1/11/11,Employed,F,Rural,Married,Special Auto,Special L2,Offer1,Branch,Sports Car,Medsize
137,RB81636,Washington,No,Basic,College,1/15/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Small
138,SX26335,Oregon,No,Extended,College,2/8/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer4,Branch,Four-Door Car,Medsize
139,AZ95587,Arizona,No,Extended,Bachelor,1/11/11,Employed,F,Urban,Single,Special Auto,Special L3,Offer3,Branch,Four-Door Car,Small
140,DS81757,Oregon,No,Basic,College,1/9/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer4,Web,Two-Door Car,Large
141,OJ94107,Arizona,No,Premium,Master,2/4/11,Employed,M,Urban,Married,Personal Auto,Personal L2,Offer1,Call Center,SUV,Medsize
142,LP84436,California,No,Extended,High School or Below,1/21/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer3,Branch,Sports Car,Medsize
143,YV64727,Washington,No,Premium,High School or Below,2/16/11,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer3,Agent,SUV,Medsize
144,LM19287,Oregon,Yes,Extended,High School or Below,2/24/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Large
145,ZU18643,Nevada,No,Extended,Bachelor,1/18/11,Employed,M,Urban,Married,Corporate Auto,Corporate L2,Offer4,Web,Four-Door Car,Medsize
146,AZ82578,California,No,Basic,College,1/30/11,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Call Center,Four-Door Car,Medsize
147,XC67861,Arizona,No,Basic,Bachelor,1/9/11,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L2,Offer1,Call Center,Two-Door Car,Medsize
148,YC43143,Arizona,No,Extended,High School or Below,2/1/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Medsize
149,EK59571,Oregon,Yes,Premium,College,2/28/11,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Branch,Four-Door Car,Large
150,GD83998,Washington,No,Basic,Bachelor,1/31/11,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer4,Branch,Four-Door Car,Small
151,WA25797,Washington,Yes,Basic,High School or Below,2/17/11,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer2,Agent,Sports Car,Medsize
152,PD27940,Arizona,No,Extended,High School or Below,2/12/11,Disabled,M,Suburban,Married,Personal Auto,Personal L3,Offer4,Agent,SUV,Medsize
153,BS77946,Arizona,No,Extended,Bachelor,2/24/11,Medical Leave,F,Rural,Married,Personal Auto,Personal L1,Offer1,Branch,SUV,Medsize
154,YM50253,California,No,Basic,Bachelor,2/1/11,Employed,F,Urban,Single,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize
155,NR15332,California,No,Basic,High School or Below,2/6/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Web,Four-Door Car,Small
156,RC62865,Oregon,No,Extended,College,1/23/11,Employed,M,Rural,Single,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Medsize
157,CC15295,Oregon,No,Extended,Bachelor,1/21/11,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Small
158,KA61892,Arizona,Yes,Basic,College,1/20/11,Retired,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Sports Car,Medsize
159,OS94884,Arizona,No,Basic,Bachelor,1/6/11,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer1,Web,Two-Door Car,Large
160,ND87334,California,No,Basic,High School or Below,2/22/11,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Agent,Two-Door Car,Medsize
161,ML93326,Washington,No,Basic,College,2/27/11,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer1,Agent,SUV,Medsize
162,YL74911,California,Yes,Basic,College,2/21/11,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize
