,customer,state,response,coverage,education,effective_to_date,employment_status,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
0,DK49336,Arizona,No,Basic,College,2011-02-18,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer3,Agent,Four-Door Car,Medsize
1,KX64629,California,No,Basic,College,2011-01-18,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer4,Call Center,Four-Door Car,Medsize
2,LZ68649,Washington,No,Basic,Bachelor,2011-02-10,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Call Center,SUV,Medsize
3,XL78013,Oregon,Yes,Extended,College,2011-01-11,Employed,M,Suburban,Single,Corporate Auto,Corporate L3,Offer2,Branch,Four-Door Car,Medsize
4,IW72280,California,No,Basic,Doctor,2011-02-14,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Offer2,Branch,Four-Door Car,Medsize
5,IH64929,California,No,Basic,High School or Below,2011-02-24,Employed,M,Urban,Single,Personal Auto,Personal L2,Offer2,Branch,Two-Door Car,Medsize
6,FM55990,California,Yes,Premium,College,2011-01-19,Employed,M,Suburban,Single,Personal Auto,Personal L1,Offer2,Branch,Sports Car,Medsize
7,QX31376,Oregon,No,Extended,Master,2011-01-04,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Agent,Four-Door Car,Small
8,HG93801,Arizona,No,Extended,High School or Below,2011-01-02,Employed,M,Urban,Married,Corporate Auto,Corporate L3,Offer2,Branch,SUV,Large
9,EO51920,Oregon,No,Extended,High School or Below,2011-01-31,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
10,KR82385,California,No,Basic,Master,2011-01-26,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer4,Call Center,Two-Door Car,Medsize
11,TL59568,Arizona,No,Premium,High School or Below,2011-02-28,Unemployed,M,Suburban,Married,Personal Auto,Personal L2,Offer3,Agent,Two-Door Car,Medsize
12,CW49887,California,Yes,Basic,Master,2011-01-16,Employed,F,Suburban,Divorced,Special Auto,Special L1,Offer2,Branch,SUV,Medsize
13,FH51383,California,No,Basic,High School or Below,2011-02-07,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer4,Call Center,Two-Door Car,Large
14,TR26615,Oregon,No,Basic,High School or Below,2011-01-17,Unemployed,M,Urban,Married,Corporate Auto,Corporate L2,Offer2,Branch,Two-Door Car,Medsize
15,ZC97968,California,No,Basic,College,2011-02-14,Disabled,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize
16,NJ54277,California,Yes,Extended,College,2011-02-26,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer2,Call Center,Two-Door Car,Large
17,OM80593,California,No,Basic,Bachelor,2011-02-23,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize
18,RL65736,Oregon,No,Extended,High School or Below,2011-02-14,Medical Leave,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Small
19,EQ62488,Oregon,No,Basic,College,2011-01-15,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Luxury Car,Large
20,YK32760,Oregon,No,Basic,High School or Below,2011-02-15,Unemployed,M,Suburban,Divorced,Corporate Auto,Corporate L1,Offer1,Agent,Four-Door Car,Medsize
21,AY59197,Nevada,No,Extended,College,2011-01-24,Employed,M,Rural,Married,Special Auto,Special L3,Offer4,Agent,SUV,Small
22,XF15789,Arizona,No,Basic,College,2011-02-21,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer3,Branch,SUV,Large
23,MQ68407,Oregon,Yes,Premium,Bachelor,2011-02-28,Employed,F,Rural,Divorced,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize
24,CI99444,Nevada,No,Basic,College,2011-02-22,Employed,F,Urban,Married,Special Auto,Special L2,Offer2,Call Center,Four-Door Car,Medsize
25,BD70337,California,No,Basic,High School or Below,2011-01-07,Medical Leave,M,Urban,Married,Personal Auto,Personal L2,Offer4,Call Center,Four-Door Car,Medsize
26,GX19342,California,No,Premium,High School or Below,2011-01-28,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Large
27,DP19210,California,No,Basic,Master,2011-02-08,Employed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Branch,Sports Car,Medsize
28,OJ63606,Arizona,No,Premium,High School or Below,2011-01-28,Medical Leave,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Call Center,SUV,Small
