,total_claim_amount
0,292.8
1,744.924331
2,480.0
3,484.013411
4,287.556107
5,247.402353
6,739.2
7,408.0
8,442.521087
9,64.669515
10,331.2
11,835.2
12,547.2
13,300.528579
14,272.381465
15,350.4
16,19.575683
17,499.2
18,408.0
19,907.2
20,355.2
21,123.15416
22,228.185834
23,60.036683
24,234.774747
25,313.192439
26,1193.115879
27,567.48055
28,871.457982
29,173.080024
30,499.2
31,135.888306
32,647.442031
33,232.879766
34,292.8
35,479.312226
36,190.642833
37,473.266879
38,604.8
39,28.92584
40,138.961963
41,269.905129
42,326.4
43,161.61574
44,460.8
45,272.788141
46,302.4
47,406.902001
48,623.525433
49,600.0
50,2294.631639
51,292.8
52,756.0
53,396.035334
54,302.4
55,774.892461
56,41.464402
57,302.4
58,302.4
59,483.25721
60,374.4
61,345.6
62,369.6
63,568.8
64,439.2
65,1605.6
66,199.37361
67,340.8
68,1742.4
69,612.0
70,89.119797
71,33.718553
72,57.562324
73,525.6
74,451.2
75,734.4
76,532.8
77,970.688934
78,355.818306
79,388.506303
80,722.178166
81,733.737214
82,227.221652
83,370.018108
84,1778.4
85,336.50961
86,561.6
87,114.273025
88,408.0
89,23.387192
90,388.8
91,277.360797
92,160.338007
93,497.719213
94,725.870693
95,5.746657
96,312.0
97,1214.4
98,534.653787
99,633.6
100,236.739322
101,566.673518
102,590.4
103,5.661684
104,312.0
105,480.0
106,470.576119
107,271.606799
108,558.099357
109,122.302824
110,580.8
111,423.823547
112,412.8
113,321.6
114,340.8
115,316.8
116,734.4
117,331.2
118,650.52179
119,936.0
120,377.498287
121,489.6
122,167.037619
123,368.890904
124,451.751555
125,7.345946
126,792.0
127,134.158389
128,257.248789
129,166.937747
130,321.6
131,461.269135
132,604.8
133,46.804
134,331.2
135,537.6
136,604.8
137,468.0
138,400.959425
139,443.44552
140,414.519064
141,1253.984948
142,566.4
143,345.6
144,241.88878
145,350.4
146,440.268527
147,114.273025
148,835.2
149,423.286512
150,513.6
151,223.174067
152,204.620759
153,321.060571
154,422.4
155,537.6
156,331.2
157,523.2
158,69.310166
159,451.2
160,716.469391
161,1358.4
162,302.4
163,67.647131
164,446.4
165,65.659137
166,580.8
167,648.0
168,321.6
169,309.577946
170,614.4
171,528.0
172,147.486454
173,292.8
174,660.430456
175,1065.049894
176,321.6
177,1833.182529
178,35.915639
179,384.0
180,364.8
181,186.025014
182,499.2
183,38.763897
184,364.8
185,326.4
186,355.2
187,2.54009
188,369.918482
189,590.4
